item,sentence,rating
146,They opened a [channel] for negotiations.,
147,The pilot [navigated] the shoals at low tide.,
148,He hit a [wall] in the negotiations.,
149,The kitten slept on a [soft] blanket.,
150,The shovel [leaned] against the shed.,
151,The bottom [step] creaked underfoot.,
152,She [grasped] the argument at once.,
153,The river is [broad] near its mouth.,
154,Her assessment was [blunt] but fair.,
155,The cellar stays [cool] in summer.,
156,She [held] a controversial opinion.,
157,The firewood must stay [dry] all winter.,
158,Use a [sharp] knife to slice the onions.,
159,The scholarship opened a [door] for her.,
160,The children splashed in the [shallow] end.,
161,She chose an unusual [path] to power.,
162,He rinsed the coffee [filter].,
163,The board [floated] a merger proposal.,
164,The workers drilled through [hard] rock.,
165,She [stretched] the canvas over the frame.,
166,The oak cast a long [shadow] on the lawn.,
167,They sketched a [rough] plan for the merger.,
168,They kept the conversation [light] at dinner.,
169,From the ridge you can [see] the harbor.,
170,The visitors received a [warm] welcome.,
171,She [navigated] the visa bureaucracy with ease.,
172,New treatments appeared on the [horizon].,
173,The union negotiated a [floor] for wages.,
174,The author [wove] grief into the comedy.,
175,Now I [see] why the plan failed.,
176,Honey left the counter [sticky].,
177,The union [pushed] for shorter shifts.,
178,He [broke] a window with the ball.,
179,Ivy covered the garden [wall].,
180,The law imposes a [ceiling] on donations.,
181,The anchor hung from a rusted [chain].,
182,They [planted] tomatoes along the fence.,
183,She [runs] a small accounting firm.,
184,The [storm] flattened the barley.,
185,The [path] wound through the birches.,
186,His heart [sank] at the news.,
187,The [dull] blade tore the bread.,
188,The toast [burned] under the broiler.,
189,The handover was [smooth] despite the deadline.,
190,The summit built a [bridge] between the parties.,
191,The law grants [broad] powers to inspectors.,
192,They [built] a cabin from salvaged timber.,
193,Meltwater [flowed] down the gully.,
194,An [echo] bounced off the canyon walls.,
195,The players swept rain from the [court].,
196,He [bent] the wire into a hook.,
197,The pebbles were [smooth] from the surf.,
198,The startup [absorbed] heavy losses.,
199,The aides [spun] the defeat as progress.,
200,A [wave] crashed over the seawall.,
201,The court took a [narrow] reading of the statute.,
202,The historian reads the war through the [lens] of economics.,
203,The ceasefire remained [fragile] all spring.,
204,The judge [weighed] the competing claims.,
205,A [chain] of errors doomed the mission.,
206,Trout hovered in the cold [stream].,
207,The rumor planted a [seed] of doubt.,
208,She [touched] the marble with her fingertips.,
209,He lived in the [shadow] of his famous brother.,
210,The dredger deepened the shipping [channel].,
211,The photo sat in a walnut [frame].,
212,A sparrow landed on the swaying [branch].,
213,They stumbled down a [dark] hallway.,
214,The treaty preserved the [balance] of power.,
215,Snakes [digest] their prey slowly.,
216,The crew winched the [anchor] aboard.,
