# Polysemy/metaphor minimal pairs for contextual probe validation.
# Same surface form in both sentences; concrete sense vs abstract sense.
# The v1 dictionary scorer scores both occurrences identically by construction,
# so any v2 discrimination is contextual signal.
word	pos	concrete	abstract
leaned	verb	The shovel leaned against the shed.	The editorial page leaned toward reform.
climbed	verb	The boys climbed the water tower at dusk.	Prices climbed throughout the shortage.
fell	verb	Ripe apples fell into the wet grass.	The government fell after the scandal.
rose	verb	Smoke rose from the chimney.	Objections rose from every faction.
sank	verb	The skiff sank in the squall.	His heart sank at the news.
floated	verb	Petals floated on the pond.	The board floated a merger proposal.
drifted	verb	The raft drifted toward the reeds.	The lecture drifted from its topic.
flowed	verb	Meltwater flowed down the gully.	Donations flowed after the appeal.
froze	verb	The pond froze solid by December.	Congress froze the agency's funding.
melted	verb	The butter melted in the skillet.	Her resistance melted at his apology.
burned	verb	The toast burned under the broiler.	The insult burned in his memory.
planted	verb	They planted tomatoes along the fence.	The lawyer planted doubt in the jury.
harvested	verb	The crew harvested wheat before the rain.	The firm harvested data from its users.
absorbed	verb	The sponge absorbed the spilled wine.	The startup absorbed heavy losses.
digest	verb	Snakes digest their prey slowly.	She needed a week to digest the verdict.
chewed	verb	The cows chewed their cud in the shade.	He chewed on the offer overnight.
swallowed	verb	She swallowed the pill with water.	He swallowed his pride and apologized.
touched	verb	She touched the marble with her fingertips.	The eulogy touched everyone present.
struck	verb	The hammer struck the chisel squarely.	The idea struck her as absurd.
wove	verb	She wove the reeds into a basket.	The author wove grief into the comedy.
spun	verb	The potter spun the wheel with one foot.	The aides spun the defeat as progress.
steered	verb	She steered the truck around the crater.	The chair steered the meeting toward a vote.
navigated	verb	The pilot navigated the shoals at low tide.	She navigated the visa bureaucracy with ease.
shouldered	verb	He shouldered the duffel and boarded the bus.	She shouldered the blame for the collapse.
juggled	verb	The clown juggled five oranges.	She juggled two jobs and a thesis.
